,ZIP,STATE,MSA No.,MSA NAME
6672,15606,PA,38300,"Pittsburgh, PA MSA"
6673,15610,PA,38300,"Pittsburgh, PA MSA"
6674,15611,PA,38300,"Pittsburgh, PA MSA"
6675,15612,PA,38300,"Pittsburgh, PA MSA"
6676,15613,PA,38300,"Pittsburgh, PA MSA"
6677,15615,PA,38300,"Pittsburgh, PA MSA"
6678,15616,PA,38300,"Pittsburgh, PA MSA"
6679,15617,PA,38300,"Pittsburgh, PA MSA"
6680,15618,PA,38300,"Pittsburgh, PA MSA"
6681,15619,PA,38300,"Pittsburgh, PA MSA"
6682,15620,PA,38300,"Pittsburgh, PA MSA"
6683,15621,PA,38300,"Pittsburgh, PA MSA"
6684,15622,PA,38300,"Pittsburgh, PA MSA"
6685,15623,PA,38300,"Pittsburgh, PA MSA"
6686,15624,PA,38300,"Pittsburgh, PA MSA"
6687,15625,PA,38300,"Pittsburgh, PA MSA"
6688,15626,PA,38300,"Pittsburgh, PA MSA"
6689,15627,PA,38300,"Pittsburgh, PA MSA"
6690,15628,PA,38300,"Pittsburgh, PA MSA"
6691,15629,PA,38300,"Pittsburgh, PA MSA"
6692,15630,PA,38300,"Pittsburgh, PA MSA"
6693,15631,PA,38300,"Pittsburgh, PA MSA"
6696,ZIP CODE,STATE,MSA No.,MSA Name
6697,15632,PA,38300,"Pittsburgh, PA MSA"
6698,15633,PA,38300,"Pittsburgh, PA MSA"
6699,15634,PA,38300,"Pittsburgh, PA MSA"
6700,15635,PA,38300,"Pittsburgh, PA MSA"
6701,15636,PA,38300,"Pittsburgh, PA MSA"
6702,15637,PA,38300,"Pittsburgh, PA MSA"
6703,15638,PA,38300,"Pittsburgh, PA MSA"
6704,15639,PA,38300,"Pittsburgh, PA MSA"
6705,15640,PA,38300,"Pittsburgh, PA MSA"
6706,15641,PA,38300,"Pittsburgh, PA MSA"
6707,15642,PA,38300,"Pittsburgh, PA MSA"
6708,15644,PA,38300,"Pittsburgh, PA MSA"
6709,15646,PA,38300,"Pittsburgh, PA MSA"
6710,15647,PA,38300,"Pittsburgh, PA MSA"
6711,15650,PA,38300,"Pittsburgh, PA MSA"
6712,15655,PA,38300,"Pittsburgh, PA MSA"
6713,15656,PA,38300,"Pittsburgh, PA MSA"
6714,15658,PA,38300,"Pittsburgh, PA MSA"
6715,15660,PA,38300,"Pittsburgh, PA MSA"
6716,15661,PA,38300,"Pittsburgh, PA MSA"
6717,15662,PA,38300,"Pittsburgh, PA MSA"
6718,15663,PA,38300,"Pittsburgh, PA MSA"
6719,15664,PA,38300,"Pittsburgh, PA MSA"
6720,15665,PA,38300,"Pittsburgh, PA MSA"
6721,15666,PA,38300,"Pittsburgh, PA MSA"
6722,15668,PA,38300,"Pittsburgh, PA MSA"
6723,15670,PA,38300,"Pittsburgh, PA MSA"
6724,15671,PA,38300,"Pittsburgh, PA MSA"
6725,15672,PA,38300,"Pittsburgh, PA MSA"
6726,15673,PA,38300,"Pittsburgh, PA MSA"
6727,15674,PA,38300,"Pittsburgh, PA MSA"
6728,15675,PA,38300,"Pittsburgh, PA MSA"
6729,15676,PA,38300,"Pittsburgh, PA MSA"
6730,15677,PA,38300,"Pittsburgh, PA MSA"
6731,15678,PA,38300,"Pittsburgh, PA MSA"
6732,15679,PA,38300,"Pittsburgh, PA MSA"
6733,15680,PA,38300,"Pittsburgh, PA MSA"
6734,15681,PA,99037,PA NONMETROPOLITAN AREA
6735,15682,PA,38300,"Pittsburgh, PA MSA"
6736,15683,PA,38300,"Pittsburgh, PA MSA"
6737,15684,PA,38300,"Pittsburgh, PA MSA"
6738,15685,PA,38300,"Pittsburgh, PA MSA"
6739,15686,PA,38300,"Pittsburgh, PA MSA"
6740,15687,PA,38300,"Pittsburgh, PA MSA"
